name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,description,icon
ILLINOIS,1/1/70,25.1,20,22.5,83.2,,0,0,,,,,11.6,225.9,1017.9,85,4.7,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/2/70,24.2,17.9,22,83.7,,0,0,,,,,16.1,250.3,1018,98.8,3.7,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,1/3/70,17,1.1,11,77.8,,0,0,,,,,16.1,237.5,1020.2,60,4.4,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
ILLINOIS,1/4/70,26.9,10.1,18.3,76.4,,0,0,,,,,11.6,184.2,1019.8,33.8,8.4,,,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
ILLINOIS,1/5/70,15.2,2.9,10.1,75.9,,0,0,,,,,16.1,344.9,1026.5,37.5,7.4,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/6/70,3.8,-7.9,-2.7,62.8,,0,0,,,,,13.9,278.5,1028.4,0,13.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,1/7/70,2,-11.1,-4.1,54.8,,,0,,,,,23,272.3,1024.8,0,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,1/8/70,1.1,-10,-5.2,55.3,,0,0,,,,,27.7,266.8,1028,12.5,13,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,1/9/70,8,-0.1,1.9,60.2,,0,0,,,,,20.8,275.1,1029.5,21.3,14.3,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/10/70,20.9,-2.1,11.3,64.7,,0,0,,,,,19.7,157.2,1025.5,67.5,13,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/11/70,28.1,20.9,25.8,85.6,,0,0,,,,,15,207.3,1013.4,100,4.1,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,1/12/70,26.9,12.8,23,79.9,,0,0,,,,,15,323.6,1022.1,60,6.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/13/70,29,14.1,19.8,78.9,,0,0,,,,,13.9,196.5,1025.9,83.8,4.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/14/70,38,17.9,27.2,72.4,,0,0,,,,,13.9,140.5,1021.2,48.8,5.8,,,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
ILLINOIS,1/15/70,39.8,26,32.6,74.4,,0,0,,,,,16.1,177.3,1018.4,52.5,5.2,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/16/70,38.9,28.1,34.2,78,,0,0,,,,,13.9,233.3,1020.2,77.5,5.4,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/17/70,24.2,11,17.9,78.9,,0,0,,,,,18.3,339.2,1018.6,100,4,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,1/18/70,10.1,2,6.5,69.1,,0,0,,,,,20.8,337.7,1024,95,10.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,1/19/70,6.2,-3.9,1.4,69.7,,0,0,,,,,16.1,329.9,1025.7,32.5,11.4,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/20/70,5.1,-5.9,-1.1,59.5,,0,0,,,,,25.3,303.6,1025.5,45,10.7,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/21/70,2.9,-12,-5.2,53,,0,0,,,,,11.6,290.9,1036.4,0,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,1/22/70,20,-3.9,9.7,63.9,,0,0,,,,,20.8,167.8,1021.7,85,10.7,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/23/70,24.2,8.9,18.4,78.1,,0,0,,,,,17.2,325.9,1017.5,77.5,7.7,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/24/70,38.9,10.1,26.8,74.3,,0,0,,,,,24.2,171,1013,95,8.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,1/25/70,44.9,35,39.1,78.4,,0,0,,,,,23,232.1,1001.6,91.3,8.9,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,1/26/70,35.9,32.1,34.2,80.7,,0,0,,,,,13.9,271.4,1015.2,100,5.3,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,1/27/70,38,30.8,34.5,74.5,,0,0,,,,,15,198.2,1016.5,75,11.6,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/28/70,62.9,38.9,49.3,70.1,,0,0,,,,,23,191.8,1000.5,87.5,10.6,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/29/70,35.9,23.1,30.8,72.1,,0,0,,,,,27.7,296.1,1017.2,87.5,10.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,1/30/70,38.9,20,29.5,62.8,,0,0,,,,,18.3,244.3,1025.2,17.5,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,1/31/70,48.8,30.8,38.2,51.1,,0,0,,,,,19.7,212.4,1020,17.5,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/1/70,44,35,39,56.8,,0,0,,,,,20.8,177.6,1010.1,62.5,14.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/2/70,38.9,3.8,20,69,,0,0,,,,,25.3,313.9,1008.8,80,8.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/3/70,8,-3,2.1,47.2,,0,0,,,,,20.8,308.3,1023.3,3.8,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/4/70,35,6.2,22.3,49.6,,0,0,,,,,27.7,188.1,1016.7,83.8,14.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/5/70,44.9,24.2,35.3,58.4,,0,0,,,,,13.9,198.7,1026,27.5,14.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/6/70,41.1,30.8,33.8,80.6,,0,0,,,,,17.2,154.5,1030.5,67.5,6,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/7/70,41.1,32.1,36.2,86.2,,0,0,,,,,15,132.3,1023.9,100,3,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/8/70,37.1,30.8,33.9,91,,0,0,,,,,16.1,295.6,1019.1,100,3.1,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/9/70,30.8,24.2,28.6,87.3,,0,0,,,,,20.8,329.8,1020.3,97.5,6,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/10/70,38.9,15.2,27.5,81.3,,0,0,,,,,19.7,276.6,1016.4,92.5,7.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/11/70,32.1,28.1,29.7,80,,0,0,,,,,19.7,309.9,1019,100,8.1,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/12/70,29.9,19.1,24.6,77,,0,0,,,,,23,265.6,1020.5,47.5,14.1,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/13/70,25.1,12.8,18.5,70.9,,0,0,,,,,20.8,16.3,1023.4,80,13.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/14/70,21.8,12.8,17.5,85.4,,0,0,,,,,16.1,46.8,1020.4,100,6.5,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/15/70,28.1,20,23.5,77.1,,0,0,,,,,16.1,344.5,1021.8,97.5,8.6,,,,Overcast,Cloudy skies throughout the day.,cloudy
ILLINOIS,2/16/70,29,12.8,22.1,76.1,,0,0,,,,,11.6,147.9,1026,18.8,7.8,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/17/70,47,24.2,34.3,71.8,,0,0,,,,,23,169.3,1013.8,26.3,8,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/18/70,52.1,26.9,39.5,82.8,,0,0,,,,,25.3,225.3,1004.7,37.5,7.2,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
ILLINOIS,2/19/70,28.1,16.1,22.4,72.5,,0,0,,,,,20.8,287.8,1024.5,32.5,12.3,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/20/70,26,8.9,18,65.1,,0,0,,,,,18.3,276.7,1036,10,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/21/70,53,23.1,36,63.9,,0,0,,,,,15,223.7,1031.5,0,14.9,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/22/70,50.1,35.9,42.1,66.8,,0,0,,,,,21.9,243.8,1024.3,58.8,14.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/23/70,47,26.9,35.9,69.5,,0,0,,,,,10.3,344.8,1028.9,1.3,14.5,,,,Clear,Clear conditions throughout the day.,clear-day
ILLINOIS,2/24/70,46.1,28.1,38,81.4,,0,0,,,,,15,236.7,1019.3,73.8,9.5,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/25/70,33.2,17.9,24.6,65.3,,0,0,,,,,27.7,341.3,1023.5,48.8,14.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/26/70,44.9,16.1,29.9,62.6,,0,0,,,,,24.2,212.4,1014.7,28.8,14.9,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
ILLINOIS,2/27/70,43.1,29,35.5,63.3,,0,0,,,,,18.3,298.7,1018.9,31.3,14.9,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
ILLINOIS,2/28/70,44.9,28.1,36.1,60.1,,0,0,,,,,17.2,80.8,1026.6,85,12.7,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
