name,datetime,tempmax,tempmin,temp,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,description,icon
MINNESOTA,1/1/70,24.2,15.2,20.9,88,,0,,,,,8.1,127.1,1018,92.9,5.7,,,,0.8,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,1/2/70,19.1,-2.1,13.2,86.2,,0,,,,,11.6,297.3,1018.1,50.8,6.5,,,,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,1/3/70,10.1,-7.9,2.4,75.9,,0,,,,,10.3,219,1016.9,74.6,6.5,,,,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/4/70,11.9,-10,4.6,73,,0,,,,,12.8,273.8,1017.8,50.8,9.6,,,,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,1/5/70,-1,-14.9,-8.6,66.1,,0,,,,,12.8,256.8,1028.8,4.2,11.1,,,,0.93,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,1/6/70,-1,-16.9,-7.5,66.4,,0,,,,,15,302,1027.5,43.8,12.2,,,,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/7/70,-3.9,-14,-9.2,60.7,,0,,,,,17.2,325.5,1025.1,50.4,14.6,,,,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/8/70,2.9,-16,-5.4,61.7,,0,,,,,20.8,305.3,1025.9,64.6,11.8,,,,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/9/70,6.2,-7.9,-0.2,63.4,,0,,,,,17.2,295.5,1029,4.2,14.6,,,,0.06,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,1/10/70,17.9,-10,4.4,71.3,,0,,,,,20.8,139,1019,85.8,13.2,,,,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/11/70,25.1,7.1,18.9,87.9,,0,,,,,16.1,333,1014.4,74.6,7.9,,,,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
