name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,conditions,description,icon
NEBRASKA,1/1/70,24.2,16.1,20.2,15.4,81.2,0,0,0,,,7.9,,16.1,326.9,1016.5,97.1,3.4,,,,,0.8,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,1/2/70,15.2,-1,6.2,0.1,75.7,0,0,0,,,11,,16.1,308.5,1021.7,53.8,8.1,,,,,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/3/70,15.2,-2.1,8.3,2.4,76.7,0,0,0,,,11,,11.6,222.7,1018.3,61.3,7.8,,,,,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/4/70,19.1,2,9.7,2.7,73,0,0,0,,,11,,12.8,4.1,1018.8,45.4,10.4,,,,,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/5/70,6.2,-5.9,-0.2,-11.1,59.5,0,0,0,,,9.8,,17.2,324.8,1032.2,6.7,10.2,,,,,0.93,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,1/6/70,8.9,-11.1,-0.1,-11.2,59.1,0,0,0,,,9.8,,23,309.9,1032.1,29.2,10.4,,,,,0.96,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NEBRASKA,1/7/70,1.1,-10,-4.1,-16.5,54.4,0,0,0,,,9.8,,20.8,310.8,1030.3,30.8,10.5,,,,,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/8/70,-0.1,-12.9,-6.4,-19.2,52.9,0,0,0,,,9.8,,17.2,293.6,1035.1,0.4,10.7,,,,,0.03,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,1/9/70,8,-3,1.8,-9,60,0,0,0,,,9.8,,11.6,301.1,1032.8,12.9,10.7,,,,,0.06,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,1/10/70,28.1,2,19.8,12.5,73.3,0,0,0,,,9.8,,15,145,1015.7,86.3,8.5,,,,,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/11/70,28.1,11,22.6,16.8,78.3,0,0,0,,,9.1,,16.1,327.4,1014.3,86.3,7.3,,,,,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/12/70,20,1.1,12.2,5,72.6,0,0,0,,,9.1,,6.9,85.4,1023.9,54.2,10.5,,,,,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/13/70,35.9,8,20,14.4,78.9,0,0,0,,,9.1,,8.1,103.6,1020.3,47.9,7.8,,,,,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/14/70,23.1,11.9,18.5,13.9,81.8,0,0,0,,,7.1,,9.2,284.8,1018.1,89.6,2.2,,,,,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/15/70,35,20.9,30.2,27.7,90.4,0,0,0,,,7.1,,18.3,178.6,1013.3,100,1.2,,,,,0.27,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,1/16/70,25.1,3.8,12.1,5.3,73.7,0,0,0,,,7.1,,20.8,349.8,1024.9,100,9.2,,,,,0.3,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,1/17/70,3.8,-2.1,1,-8.5,63.6,0,0,0,,,7.1,,20.8,0.2,1025.3,87.1,7.8,,,,,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
